"","month_st","month_rp","year_st","mean_size"
"486",12,4,2015,23.1252699784017
"487",12,4,2016,24.8085106382979
"488",12,4,2017,23.5456821026283
"489",12,4,2018,17.1708860759494
"490",12,4,2019,11.1635908664373
"491",12,5,2013,0
"492",12,5,2014,40.9213483146067
"493",12,5,2015,33.1089108910891
"494",12,5,2016,31.0717213114754
"495",12,5,2017,34.2236286919831
"496",12,5,2018,24.4293628808864
"497",12,5,2019,14.3783987915408
"498",12,6,2013,0
"499",12,6,2014,65.4838709677419
"500",12,6,2015,49.6222222222222
"501",12,6,2016,48.981981981982
"502",12,6,2017,60.1199143468951
"503",12,6,2018,38.3350515463918
"504",12,6,2019,23.5239136376059
